ACI,SB,Air Caledonie International SA d/b/a Aircalin - New Caledonia,Air Calin
ACJ,,"AC Aviation Co., Ltd - Thailand",Sinojet
ACK,,Nantucket Airlines - United States of America,Ack Air
ACL,JK,"Aercaribe Aerolina del Caribe, S.A. - Colombia",Admire
ACM,,AVIAC S.A. de C.V. (Aereo Vias Centroamericanas Sociedad Anonima de Capital Variable) - Honduras,
ACN,2F*,Azul Conecta Ltda - Brazil,Azul Conecta
ACP,8V*,Astral Aviation Ltd. - Kenya,Astral Cargo
ACR,,"Aerocenter, Escuela de Formacion de Pilotos Privados de Avion - Spain",Aerocenter
ACS,,Aircraft Sales and Services (Pvt) Ltd. d/b/a ASSL Air - Pakistan,Aircraft Sales
ACT,,"Flight Line, Inc. - United States of America",American Check
ACU,,Air Cargo Transportation System Limited - Kenya,Afrispirit
ACW,,"Servicios Aereos Across, S.A. de C.V. - Mexico",Acro Jets
ACY,,Alpha Crux LLC - Russian Federation,Crux
ACZ,,Blocked -,
ADA,,"Airservices Australia, Flight Inspection Unit - Australia",Auscal
ADB,,Antonov Design Bureau / Antonov Airlines - Ukraine,Antonov Bureau
ADC,,AD Astra Executive Charter Sp. z.o.o. - Poland,AD Astra
ADD,,Advanced Air Co. Ltd. - Japan,
ADF,,"Adefa, S.A. - Spain",
ADG,,"Aerea Flying Training Organization, S.A. - Spain",Aerea Training
ADI,,Audeli Air Express - Spain,Audeli
ADJ,,"Aladdin Jet Co., Ltd. - China",Shendeng Jet
ADL,,Aerodynamics Ltd. - United Kingdom,Cotswold
ADM,,Air Dream College - Portugal,Dream College
ADN,,Aero-Dienst GmbH - Germany,Aerodienst
ADO,HD,"Air Do Co., Ltd. - Japan",Air Do
ADP,,"Aerodiplomatic, S.A. de C.V. - Mexico",Aerodiplomatic
ADS,,Anderson Air Limited - Canada,Anderson
ADT,,"Arrendaminetos y Transportes Turisticos, S.A. de C.V. - Mexico",Arrenda-Trans
ADU,,Airdeal Oy - Finland,Airdeal
ADV,,Advanced Flight Training Ltd - United Kingdom,Advanced
ADY,3L,Air Arabia Abu Dhabi - United Arab Emirates,Nawras
ADZ,HQ,Compass Cargo Airlines Ltd. - Bulgaria,Migrator
AEA,UX,"Air Europa Lineas Aereas, S.A. - Spain",Europa
AEB,Z3*,Avion Express Brasil Ltda - Brazil,Vion Express
AEC,,"Aeroservicios de Almeria 2000, S.L. - Spain",
AED,,EADS CASA - Spain,
AEE,A3,"Aegean Airlines, S.A. - Greece",Aegean
AEF,,Aerea - Spain,
AEG,,Airest Inc. - Estonia,Airest Cargo
AEH,NL,Aero4M d.o.o. d/b/a Amelia International - Slovenia,Vega
AEJ,,Aerojet Executive C.A. - Venezuela,Aerojet
AEL,,Aegle Aviation (Aruba) N.V. - Aruba,Rhombus
AEN,,Aireon Canada Limited - Canada,
AEP,,"Aerotec Escuela de Pilotos, SL - Spain",Aerotec
AER,KO,"Alaska Central Express, Inc. d/b/a Ace Air Cargo - United States of America",Ace Air
AES,,Aerospace Engineering Services - Malta,Gemina
AET,,Aeronautical Radio of Thailand Ltd - Thailand,Aerothai
AEV,,"Aeroventas, S.A. - Mexico",Aeroventas
AEW,,Aegean Executive S.A. - Greece,Seagull
AEX,,"Airway Express, Inc. - United States of America",Avco
AEY,,Aeroservicios Centroamericanos S. de R.L. - Panama,Zeus
AEZ,XZ,Aeroitalia S.r.l. - Italy,Aeroitalia
AFA,,Alfa Air s.r.o. - Czech Republic,Blue Alfa
AFB,,Bulgarian Air Force - Bulgaria,Bulaf
AFC,,Aerorutas del Sur C.A. - Venezuela,Aerorutas
AFD,,AirFutures Airlines Limited - Ghana,
AFE,FS*,Airfast Indonesia PT - Indonesia,Airfast
AFF,,AF-Aviation Limited - United Kingdom,Airferry
AFG,FG,Ariana Afghan Airlines - Afghanistan,Ariana
AFH,,Air Afghanistan International - Afghanistan,Air Afghanistan
AFK,,Africa Air Links - Sierra Leone,Africa Links
AFL,SU,"PJSC ""Aeroflot"" - Russian Federation",Aeroflot
AFM,,Aerospeed Formation et Maintenance - France,Epic Air
AFN,,Atlantsflug Ltd - Iceland,Hekla
AFO,,"Aero Empresa Mexicana, S.A. - Mexico",Aero Empresa
AFP,,Portuguese Air Force - Portugal,Portuguese Air Force
AFQ,,Alba Servizi Aerotrasporti S.p.A. - Italy,Alba
AFR,AF,Air France - France,Airfrans
AFS,,Air Data Ltd. - United Kingdom,
AFT,,Blocked -,
AFU,,"Aviofun, D.o.o. - Slovenia",Aviofun
AFV,,"AvFinity, LLC - United States of America",
AFW,AW*,Africa World Airlines Limited - Ghana,Blackstar
AFY,,Africa Chartered Services - Nigeria,Africa Chartered
AFZ,,Atlantic Flight Training Limited d/b/a Atlantic Flight Training Academy - Ireland,Afta
AGA,,Ashianeh - Iran,Iran Hangar
AGD,,"Agricolair, S.L. - Spain",
AGE,,"Aeromanage, UAB - Lithuania",Aeromanage
AGF,,Air Georgia Ltd d/b/a Aircompany Air Georgia - Georgia,Air Georgia
AGG,,Air Grischa Hikopter AG - Switzerland,Air Grischa
AGH,,Altagna - France,Altagna
AGK,,Agat Airlines - Russian Federation,Agat
AGL,,Air Galaxy Limited - Bangladesh,Galaxy Cargo
AGM,,Aviation West Charters - United States of America,Angel Med
AGO,,AAC - Angola Air Charter Ltd. - Angola,Angola Charter
AGR,,ASL B.V. - Netherlands,Ace Europe
AGS,,"AOT Ground Aviation Services Co., Ltd. - Thailand",Blue Port
AGT,1A,Amadeus IT Group SA. - Spain,Amadeus
AGU,,"Open Joint Stock Company ""Angara Airlines"" - Russian Federation",Sarma
AGV,,Air Glaciers - Switzerland,Air Glaciers
AGY,,Air Go Egypt - Egypt,Egyptian Bird
AGZ,,Agrolet-Mci Ltd. - Slovakia,Agrolet
AHC,,Ascent Helicopters Ltd. - Canada,Ascent
